English,Label,Tigrinya (TIR),Tigrinya (IPA),Oromo (Orm),Oromo (IPA),Wikipedia,KB ID,
Abadula Gemeda,PER,,,Abbaaduulaa Gammadaa,,https://en.wikipedia.org/wiki/Abadula_Gemeda,,
Abalti Mountains,LOC,,,Gooroo Abbaltii,,,,
Abaya; Abbaya,GPE,,,Abbaya; Abbaayaa,,https://en.wikipedia.org/wiki/Abaya_(woreda),,
Abay Tsehaye,,,,,,,,
Abbalti,,,,Abbaltii,,,,
ABC; A.B.C.,ORG,ኤ . ቢ . ሲ .,,,,,,
Abdul Aziz al-Rantissi,PER,ኣብዱል ዓዚዝ ኣል - ራንቲዚ,ʔabdul ʕaziz ʔal - rantizi,,,,,
Abdul Kalam,PER,ኣብዱል ካላም,ʔabdul kalam,,,,,
Abe,PER,ዓቤ,ʕabe,,,,,
Abilene,GPE,ኣቢሌን,,,,,,
Abomsa,GPE,,,Abboomsaa,,https://en.wikipedia.org/wiki/Abomsa,345703,
Abraham Afewerki,PER,ን’ኣብራሃም ኣፈወርቂ,,,,,,
Abraham Getachew,PER,ኣብርሃም ጌታቸው,,,,,,
Abyssinia; Ethiopian Empire,GPE,,,Habashaa,,https://en.wikipedia.org/wiki/Ethiopian_Empire,,
Adabba; Adaba,,,,Adaabbaa,,,7670644,
Adama; Nazret; Nazreth,GPE,አዳማ,,Adaamaa; Hadaamaa,,https://en.wikipedia.org/wiki/Adama,,
Adama University; Adama Science and Technology University,ORG,,,,,https://en.wikipedia.org/wiki/Adama_University,,
Adami Tullu,PER,,,Adaamii Tulluu,,https://en.wikipedia.org/wiki/Adami_Tullu,,
Adami Tullu and Jido Kombolcha,GPE,,,,,https://en.wikipedia.org/wiki/Adami_Tullu_and_Jido_Kombolcha,10630197,
Addalle; Adele; Addelle,,,,Addallee; Addellee,,,,
Addis Ababa,GPE,ኣዲስ ኣበባ,ʔadis ʔabəba,Finfinne; Shaggar; Finfinnee,fɪnˈfɪ́n.nɛ́,https://en.wikipedia.org/wiki/Addis_Ababa,344979,
Addis Ababa University,ORG,,,,,https://en.wikipedia.org/wiki/Addis_Ababa_University,,
ADFE,ORG,ሰደግኤን,sədəɡɨʔen,,,https://en.wikipedia.org/wiki/Aerospace_Data_Facility-East,,
Adi Keyh; Addi Qeyh; Adi Keih; Adi Caie; Addi Caieh; Adi Ciah; Adi Keyih; Adi Kaie,GPE,ዓዲ ቐይሕ,ʕadi qʰəjɨħ,,,https://en.wikipedia.org/wiki/Adi_Keyh,345046,
Adi Quala,GPE,ዓዲ ዃላ,ʕadi xʷala,,,https://en.wikipedia.org/wiki/Adi_Quala,,
Adoolaa,,,,Adoolaa,,,,
Adulala,,,,Adulaala,,,344809,
Aegean Sea,LOC,ኤጅያዊ ባሕርን,,,,https://en.wikipedia.org/wiki/Aegean_Sea,265695,
Afar National Democratic Party,ORG,,,,,https://en.wikipedia.org/wiki/Afar_National_Democratic_Party,,
Afar Region,GPE,,,Affaar,,https://en.wikipedia.org/wiki/Afar_Region,444179,
Afawerki; Afewerki,,ኣፈወርቂ,,,,,,
Afder Zone,GPE,,,,,https://en.wikipedia.org/wiki/Afder_Zone,9410038,
Afghanistan,GPE,ኣፍጋኒስታን,ʔafɡanistan,Afgaanistaan,,https://en.wikipedia.org/wiki/Afghanistan,1149361,
AFP; Agence France-Presse,ORG,AFP,afɨp,Ajaanis Firaanis Pirees,,,,
Africa,LOC,ኣፍሪቃ,ʔafɨriqa,Afrikaa; Aafrikaa; Afirikaa,,https://en.wikipedia.org/wiki/Africa,6255146,
African Commision on Human and People's Rights; ACHPR,ORG,,,Komiishinni Miga Namaa Afriikaa fi Mirga Uummattootaa,,https://en.wikipedia.org/wiki/African_Commission_on_Human_and_Peoples%27_Rights,,
African Union,ORG,ኣፍሪቃዊ ሕብረት; ሕብረት ኣፍሪካ,ʔafɨriqawi ħɨbɨrət,,,https://en.wikipedia.org/wiki/African_Union,20000004,
Afwerki Isaias,PER,ኢሰያስ,,,,,,
Agafra,,,,Agafraa,,,,
Agartala,,ኣጋርታላ,ʔaɡartala,,,,,
Agazi,,,,Agaazii,,,,
Agew Awi,GPE,,,,,https://en.wikipedia.org/wiki/Agew_Awi_Zone,,
Aggaro,,,,Aggaaroo,,,,
Agordat; Akordat; Ak'ordat,GPE,ኣቆርዳት,ʔaqorɨdat,,,https://en.wikipedia.org/wiki/Agordat,,
Ahmad Taqi Sheikh Mohammed Rashid; Ahmad Taqi,PER,,,Ahimad Taqii,,,,
Ahmar Mountains,LOC,,,,,https://en.wikipedia.org/wiki/Ahmar_Mountains,344542,
Aji; Ajje,,,,Ajjee,,,,
Akaki,GPE,,,Aqaaqii,,https://en.wikipedia.org/wiki/Akaki,,
Akaki Basaka,,,,Aqaaqii Basaqaa,,,,
Akele Guzai; Akele Guzay,GPE,,,,,https://en.wikipedia.org/wiki/Akele_Guzai,,
Al Jazeera,ORG,ኣልጀዚራ,ʔald͡ʒəzira,,,https://en.wikipedia.org/wiki/Al_Jazeera,,
Al-Azhar Islamic University,ORG,ኣል ዛሃር ኢስላሚክ ዩኒቨርስቲ,ʔal zahar ʔislamik junivərsɨti,,,,,
Al-Azhar Mosque,LOC,መስጊድ ኣልኣህዛር,məsɡid ʔalʔahzar,,,,,
Al-Shabaab; Al-Shabab; al Shabaab; al Shabab,ORG,ኣልሸባብ,,,,https://en.wikipedia.org/wiki/Al-Shabaab_(militant_group),71000078,
Al-Sheikh,PER,ኣል ሸይቕ,ʔal ʃəjɨqʰ,,,,,
Alaba Kulito; Kultio; Kuliito,,,,,,https://en.wikipedia.org/wiki/Alaba_Kulito,,
Alaltu,,,,Alaltuu,,https://en.wikipedia.org/wiki/Alaltu_River,,
Albania,GPE,,,Albaaniyaa,,https://en.wikipedia.org/wiki/Albania,,
Alexandria,GPE,ኣሌክሳንደርያ,,Iskindiriyaa,,https://en.wikipedia.org/wiki/Alexandria,,
Algeria,GPE,,,Aljeeriyaa,,https://en.wikipedia.org/wiki/Algeria,,
Ali Mahmoud,PER,,,,, ,,
Allan Gotlieb,PER,ኣላን ጎትሊያብ,ʔalan ɡotɨlijab,,,,,
Amaro,GPE,,,,,https://en.wikipedia.org/wiki/Amaro_special_woreda,9410266,
Amazon,ORG,ኣማዞን,ʔamazon,,,https://en.wikipedia.org/wiki/Amazon_rainforest,,
Amazonia,LOC,አማዞናዊያ,ʔəmazonawi,,,https://en.wikipedia.org/wiki/Amazon_rainforest,,
Amba Geshen,LOC,,,,,https://en.wikipedia.org/wiki/Amba_Geshen,,
Ambo,GPE,,,Amboo; Ambo,,"https://en.wikipedia.org/wiki/Ambo,_Ethiopia",7670629,
Ambo University,ORG,,,Yuunibarsiitii Amboo,,https://en.wikipedia.org/wiki/Ambo_University,,
Ambo Zoria,GPE,,,,,https://en.wikipedia.org/wiki/Ambo_Zuria,,
America,GPE,ኣሜሪካ,ʔamerika,Ameerikaa,,https://en.wikipedia.org/wiki/United_States,6252001,
American Public Broadcasting Service; PBS,ORG,,,,,https://en.wikipedia.org/wiki/PBS,,
American University,ORG,አሜሪካን ዩኒቨርስቲ,ʔəmerikan junivərsɨti,,,,,
Amhara Region; Amhara,GPE,,,Naannoo Amaaraa;Amaaraa,,https://en.wikipedia.org/wiki/Amhara_Region,444180,
Amibara,GPE,,,,,https://en.wikipedia.org/wiki/Amibara_(woreda),8643585,
Amigna,GPE,,,Amiinyaa,,https://en.wikipedia.org/wiki/Amigna,8643586,
Amman,GPE,ኣማን,ʔaman,,,,,
Amnesty International,ORG,ኣምነስቲ ኢንተርናሽናል,,Amnistii Internaashinaal; Amnestii Inteernaashinaal; Amnestii Internaashinaal,,https://en.wikipedia.org/wiki/Amnesty_International,71000049,
Amsterdam,GPE,ኣምስተርዳም,ʔamɨsɨtərɨdam,,,https://en.wikipedia.org/wiki/Amsterdam,,
Andorra,GPE,,,Andooraa,,https://en.wikipedia.org/wiki/Andorra,,
Andrea Mitchell,PER,ኣንድራ ሚቼል,ʔanɨdɨra mit͡ʃel,,,https://en.wikipedia.org/wiki/Andrea_Mitchell,,
Angar,GPE,,,Angar,,https://en.wikipedia.org/wiki/Angar-e_Chaleh,,
Angela Merkel,PER,ኣንገላ መርከል,ʔanɡəla mərkəl,,,,,
Angettu,,,,Angeettuu,,,,
Angola,GPE,,,Angoolaa,,https://en.wikipedia.org/wiki/Angola,,
Anseba Region,GPE,ዞባ ዓንሰባ; ዓንሰባ,zoba ʕanɨsəba; ʕanɨsəba,,,https://en.wikipedia.org/wiki/Anseba_Region,,
Anseba River,LOC,ኣንሰባ,ʔanɨsəba,,,https://en.wikipedia.org/wiki/Anseba_River,,
Antarctic Ocean,LOC,,,Maanya Kibbacabbii,,https://en.wikipedia.org/wiki/Southern_Ocean,,
Antarctica,LOC,ኣንታርክቲካ,ʔantarkɨtika,Antaartikaa,,https://en.wikipedia.org/wiki/Antarctica,,
Antigua and Barbuda,GPE,,,Antiguwaa fi Barbuda,,https://en.wikipedia.org/wiki/Antigua_and_Barbuda,,
Anuak People,PER,,,,,https://en.wikipedia.org/wiki/Anuak_people,,
Arab University of Beirut,ORG,ኣዕራብ ዩኒቨርስቲን ናይ ቤይሩት,ʔaʕrab junivərsɨtin naj bejrut,,,,,
Arafat,PER,ዓረፋት,ʕarəfat,,,https://en.wikipedia.org/wiki/Yasser_Arafat,,
Arba Bordode,,,,Arba Bordodee,,https://en.wikipedia.org/wiki/Arba_Bordode,,
Arba Gugu Mountains,LOC,,,Gooroo Arba Guguu,,https://en.wikipedia.org/wiki/Mount_Arba_Gugu,,
Arboyye,,,,Arbooyyee,,,,
Arctic Ocean,LOC,,,Maanya Kaabacabbii,,https://en.wikipedia.org/wiki/Arctic_Ocean,,
Arero,,,,Areeroo; Areero,,https://en.wikipedia.org/wiki/Arero,,
Areza,,ዓረዛ,ʕarəza, ,,https://en.wikipedia.org/wiki/Areza,,
Argentina,GPE,,,Arjantiinaa,,https://en.wikipedia.org/wiki/Argentina,,
Argobba People,PER,,,,,https://en.wikipedia.org/wiki/Argobba_people,,
Ari Fleischer,PER,ኣሪ ፍሌሽር,ʔari fɨleʃɨr,,,,,
Ariel Sharon,PER,ኤሪያል ሻሮን,ʔerijal ʃaron,,,,,
Arjo,,,,Arjoo,,https://en.wikipedia.org/wiki/Arjo,,
Armenia,GPE,,,Armeeniyaa,,https://en.wikipedia.org/wiki/Armenia,,
Arsi,GPE,,,Arsii,,https://en.wikipedia.org/wiki/Arsi_Zone,,
Arsi Zone,GPE,,,Arsii; Godina Arsii,,https://en.wikipedia.org/wiki/Arsi_Zone,,
Asabot; Asabotor,GPE,,,Asaboot,,https://en.wikipedia.org/wiki/Asabot,,
Asalla,,,,Asallaa,,,,
Asandabo,,,,Asandaaboo,,,,
Asasa,GPE,,,Asaasa,,https://en.wikipedia.org/wiki/Asasa,,
Aseko,GPE,,,Asako,,https://en.wikipedia.org/wiki/Aseko,,
Asgori Abebe,,,,Asgorii Abeebee,,,,
Asgori Bacho,,,,Asgorii Bachoo,,,,
Asha,,,,Ashaa,,,,
Asia,LOC,ኤስያ,ʔesja,Eshiyaatti; Asiyaa,,https://en.wikipedia.org/wiki/Asia,,
Aksum,,ኣክሱም,,,,,,
Asmara; Asmera,GPE,ኣስመራ; አስመራ,ʔasɨməra; ʔasməra,,,https://en.wikipedia.org/wiki/Asmara,,
Asosa,GPE,,,Asaasaa,,https://en.wikipedia.org/wiki/Asosa,343291,
Assab,GPE,ዓሰብ,,,,https://en.wikipedia.org/wiki/Assab,,
Assab; Aseb,GPE,ዓሰብ,ʕasəb,,,https://en.wikipedia.org/wiki/Assab,,
Associated Press,ORG,ኣሶሼትድ ፕረስ,ʔasoʃetɨd pɨrəs,,,https://en.wikipedia.org/wiki/Associated_Press,,
Atal Behari Vajpayee,,ኣታል ቢሃሪ ቫጅፓየን,ʔatal bihari vad͡ʒpajən,,,,,
Atlanta,GPE,,,Atlaantaa,,https://en.wikipedia.org/wiki/Atlanta,,
Atlantic,LOC,ኣትላንቲክ,ʔatɨlanɨtik,Garba Atilaantiikii; Atilaantiikii,,https://en.wikipedia.org/wiki/Atlantic_Ocean,,
Augaro,,,,,,,,
Australia,GPE,ኣውስትራሊያ,ʔawsɨtralija,Awustiraaliyaa; Awustaraaliyaa; Awustraaliyaa,,https://en.wikipedia.org/wiki/Australia,,
Austria,GPE,,,Ostiriyaa,,https://en.wikipedia.org/wiki/Austria,,
Awaash Malkasa,,,,Awaash Malkaasaa,,,,
Awadai; Awadhi,PER,,,Awaday,,https://en.wikipedia.org/wiki/Awadhi_people,,
Awasa; Hawassa; Awassa,GPE,ሐዋሳ,,,,https://en.wikipedia.org/wiki/Awasa,,
Awash,GPE,,,Awaash,,"https://en.wikipedia.org/wiki/Awash,_Ethiopia",,
Awash Baldho,,,,Awaash Baldhoo,,,,
Awash Kunture,,,,Awaash Qunxuree,,,,
Awsi Rasu; Administrative Zone 1,GPE,,,,,https://en.wikipedia.org/wiki/Administrative_Zone_1_(Afar),,
Ayira,,,,Ayiraa,,,,
Ayub Kasim,,ኣዩብ ቓስም,,,,,,
Azerbaijan,GPE,,,Azarbajaan,,https://en.wikipedia.org/wiki/Azerbaijan,,
Baabbile,,,,Baabbilee,,,,
Babbicha,,,,Baabbicha,,,,
Babylon,GPE,,,Baabiloon,,https://en.wikipedia.org/wiki/Babylon,,
Badda Kerro,,,,Baddaa Qeerroo,,,,
Badda Rogge,,,,Baddaa Roggee,,,,
Baddalle,,,,Baddallee,,,,
Baddanno,,,,Baddannoo,,,,
Baddessa,,,,Baddeessaa,,,,
Badme,,ባድመ,,,,https://en.wikipedia.org/wiki/Badme,449176,
Baghdad,GPE,ባቕዳድ,baqʰdad,,,,,
Bahamas,GPE,,,Bahaamaa,,https://en.wikipedia.org/wiki/The_Bahamas,,
Bahir Dar,GPE,,,Baahir Daar,,https://en.wikipedia.org/wiki/Bahir_Dar,342884,
Bahrain,GPE,,,Baahireen,,https://en.wikipedia.org/wiki/Bahrain,,
Bakke,,,,Bakkee,,,,
Bakko,,,,Baakkoo,,,,
Bako Tibe,GPE,,,Baakkoo Tibbee,,https://en.wikipedia.org/wiki/Bako_Tibe,,
Bale,GPE,,,Baale; Baalee,,https://en.wikipedia.org/wiki/Bale_Zone,,
Bale Mountains,LOC,,,,,https://en.wikipedia.org/wiki/Bale_Mountains,,
Bale Mountains National Park,LOC,,,,,https://en.wikipedia.org/wiki/Bale_Mountains_National_Park,,
Bale Province,GPE,,,,,"https://en.wikipedia.org/wiki/Bale_Province,_Ethiopia",,
Bale Zone,GPE,,,Baale; Godina Baale,,https://en.wikipedia.org/wiki/Bale_Zone,,
Bambasi; Abba Moti,GPE,,,Baambasii,,https://en.wikipedia.org/wiki/Bambasi,11351356,
Bangladesh,GPE,ባንግላዴሽ,banɨɡɨladeʃ,Baangiladeesh,,https://en.wikipedia.org/wiki/Bangladesh,,
Bani Walid,GPE,በኒ ወሊድ,bəni wəlid,,,https://en.wikipedia.org/wiki/Bani_Walid,,
Bantu,PER,,,Baantuu,,https://en.wikipedia.org/wiki/Bantu_peoples,,
Barack Obama,PER,በራክ ኦባማ,bərak ʔobama,Baraack Obaamaan,,,,
Barbados,GPE,,,Barbaadoos,,https://en.wikipedia.org/wiki/Barbados,,
Barcelona,GPE,ባርሴሎና,barɨselona,Barseloonaa,,https://en.wikipedia.org/wiki/Barcelona,,
Barentu,GPE,,,,,"https://en.wikipedia.org/wiki/Barentu,_Eritrea",,
Barka,GPE,,,,,https://en.wikipedia.org/wiki/Barka_(Eritrea),,
Barka River,LOC,,,,,https://en.wikipedia.org/wiki/Barka_River,,
Baridar,,ባህርዳር,bahrɨdar,,,,,
Baro,,,,Baaroo,,,,
Basketo,GPE,,,,,https://en.wikipedia.org/wiki/Basketo_special_woreda,,
Bata,GPE,,,Bataa,,town in Equatorial Guinea,,
Bati,GPE,,,Baatii,,https://en.wikipedia.org/wiki/Bati_(woreda),,
Batu,,,,Baatuu,,,,
Becho,GPE,,,Bacho,,https://en.wikipedia.org/wiki/Becho,7670630,
Bedele,,,,,,,,
Begi,GPE,,,Beegii,,"https://en.wikipedia.org/wiki/Begi,_Oromia_(woreda)",,
Beijing,,ቤይጂንግ,bejd͡ʒinɨɡ,,,,,
Beilul; Beylul,GPE,,,,,https://en.wikipedia.org/wiki/Beilul,,
Beit Hanoun,GPE,ቤት ሃኑን,bet hanun,,,https://en.wikipedia.org/wiki/Beit_Hanoun,,
Bekele Gerba,,በቀለ ገርባ,,Beqqelee Garbaa; Baqqalaa Garbaa,,,71000197,
Belarus,GPE,,,Belarus,,https://en.wikipedia.org/wiki/Belarus,,
Belgium,GPE,በልጁም,bəlɨd͡ʒum,Beeljigii,,https://en.wikipedia.org/wiki/Belgium,,
Belize,GPE,,,Beliz,,https://en.wikipedia.org/wiki/Belize,,
Bench Maji,GPE,,,Beenchii Maajii,,https://en.wikipedia.org/wiki/Bench_Maji_Zone,,
Bendeno; Bedeno,GPE,,,,,https://en.wikipedia.org/wiki/Bedeno_(woreda),,
Benin,GPE,,,Bineen,,https://en.wikipedia.org/wiki/Benin,,
Benishangul-Gumuz,GPE,,,Benishangul-Gumuzii,,https://en.wikipedia.org/wiki/Benishangul-Gumuz_Region,444181,
Berbera,GPE,,,,,https://en.wikipedia.org/wiki/Berbera,9179669,
Berlin,GPE,በርሊን,bərlin,,,,,
Bernard Aronson,PER,በርናርድ አሮንሰን,bərɨnarɨd ʔəronɨsən,,,https://en.wikipedia.org/wiki/Bernard_W._Aronson,,
Beyene Petros,PER,በየነ ጴጥሮስ,,Bayyanee Phexroos; Beyyenee Petroos ,,https://en.wikipedia.org/wiki/Beyene_Petros,71000115,
Bharatiya Janata,,ባሕራቲያ ጃናታ,baħratija d͡ʒanata,,,,,
Bhutan,GPE,,,Butaan,,https://en.wikipedia.org/wiki/Bhutan,,
Bijata,,,,Abijaataa,,,,
Bila; Bilo; Billo,GPE,,,Biilaa,,https://en.wikipedia.org/wiki/Bilo,,
Bill Clinton,PER,ክሊንተን,kɨlinɨtən,,,,,
Binyam,,ቢንያም,,,,,,
Birbir,LOC,,,Birbir,,https://en.wikipedia.org/wiki/Birbir_River,,
Birmingham,GPE,በሚንግሃም,bəminɡɨham,,,,,
Birundi,GPE,ብሩንዲ,,,,,,
Bishoftu,GPE,,,Bishooftuu,,https://en.wikipedia.org/wiki/Bishoftu,,
Blackstone Group,ORG,ብላክ ስቶን ግሩፕ,bɨlak sɨton ɡɨrup,,,,,
Bodda,,,,Bodda,,,,
Bofa,,,,Bofaa,,,,
Boke Tikko,,,,Bookee Xiqqoo,,,,
Bokojjii,,,,Boqojjii,,,,
Bokona,,,,Borkanaa,,,,
Bole Bulbula,,,,Boolee Bulbulaa,,,10376982,
Bolivia,GPE,,,Boliibiyaa,,https://en.wikipedia.org/wiki/Bolivia,,
Bombay; Mumbai,GPE,ቦምቤ,bomɨbe,Bombee,,https://en.wikipedia.org/wiki/Mumbai,,
Bora,,,,Booraa,,,,
Borana,PER,,,Boorana,,https://en.wikipedia.org/wiki/Borana_Oromo_people,,
Bore,GPE,,,Booree,,https://en.wikipedia.org/wiki/Bore_(woreda),,
Borena Zone; Borana Zone,GPE,,,Godina Booranaa,,https://en.wikipedia.org/wiki/Borena_Zone,7732039,
Boroda,,,,Borodaa,,,,
Boru Jawwi,,,,Boruu Jaawwii,,,,
Bosnia and Herzegovina,GPE,,,Bosniyaa fi Hersigobenaa,,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,,
Botswana,GPE,ቦትስዋና,,Botiswaanaa,,https://en.wikipedia.org/wiki/Botswana,,
Brazil,GPE,ብራዚል,bɨrazil,Biraazil ,,https://en.wikipedia.org/wiki/Brazil,3469034,
Brian Mulroney,PER,ብሪያን ሙልሮላይ,bɨrijan mulɨrolajɨ,,,https://en.wikipedia.org/wiki/Brian_Mulroney,,
Britain,GPE,ብሪጣንያ,bɨritʼanɨja,Briteen,,https://en.wikipedia.org/wiki/Britain_(place_name),,
British Red Cross,ORG,ቀይሕ መስቀል እንግሊዝ,qəjɨħ məsɨqəl ʔɨnɨɡɨliz,,,https://en.wikipedia.org/wiki/British_Red_Cross,,
Brunei,GPE,,,Birunaay,,https://en.wikipedia.org/wiki/Brunei,,
Budapest,GPE,ቡዳፔሽት,budapeʃɨt,,,https://en.wikipedia.org/wiki/Budapest,,
Bulbuloo,,,,Bulbuloo,,,,
Bulgaria,GPE,,,Bulgaariyaa,,https://en.wikipedia.org/wiki/Bulgaria,,
Burayu,GPE,,,Buraayyuu,,https://en.wikipedia.org/wiki/Burayu,NIL,
Bure,GPE,,,Buree,,"https://en.wikipedia.org/wiki/Bure,_Oromia_(woreda)",,
Burji,GPE,,,,,https://en.wikipedia.org/wiki/Burji_special_woreda,,
Burka,,,,Burqaa,,,,
Burkina Faso,GPE,,,Burkiinaa Faasoo; Burkinaa Faasoo,,https://en.wikipedia.org/wiki/Burkina_Faso,,
Burma; Myanmar,GPE,,,Barmaa,,https://en.wikipedia.org/wiki/Myanmar,,
Burundi,GPE,ቡሩንዲ; ቡሩንዲን,burundi; burundin,Burundii,,https://en.wikipedia.org/wiki/Burundi,,
Busa,,,,Buusaa,,,,
Caalaa Bultum,,,,,,,,
Cairo,,ካይሮ,kajro,,,,,
Calais,GPE,ካሌ,kale,,,https://en.wikipedia.org/wiki/Calais,,
Calcutta; Kolkata,GPE,,,Kaalikutaa,,https://en.wikipedia.org/wiki/Kolkata,,
California,,ካሊፎርንያ,,,,,,
Cambodia,GPE,ካምቦዲያ,kamɨbodija,Kamboodiyaa,,https://en.wikipedia.org/wiki/Cambodia,,
Cameroon,GPE,,,Kaameruun; Kamero,,https://en.wikipedia.org/wiki/Cameroon,,
Camp David,LOC,ካምፕ ዴቪድ,kamɨp devid,,,https://en.wikipedia.org/wiki/Camp_David,,
Canada,GPE,ካናዳ,kanada,Kanaadaa; Kaanaadaa,,https://en.wikipedia.org/wiki/Canada,,
Canadian Senate,ORG,ሴኔት ካናዳን,senet kanadan,,,,,
Cape Town,GPE,,,Keep Taawon,,https://en.wikipedia.org/wiki/Cape_Town,,
Cape Verde,GPE,,,Keppe Verdee,,https://en.wikipedia.org/wiki/Cape_Verde,,
Carter,PER,ካርተር,karɨtər,,,https://en.wikipedia.org/wiki/Jimmy_Carter,,
Casablanca,GPE,,,Kaasabilaankaa,,https://en.wikipedia.org/wiki/Casablanca,,
Center Denkalia; Central Denkalia,GPE,ማእከል ደንካልያ,maʔkəl dənkalja,,,,,
Central African Republic,GPE,,,Republika Afrikaa Jiddugalee,,https://en.wikipedia.org/wiki/Central_African_Republic,,
Central America,GPE,ማእኸላይ ኣሜሪካ,maʔɨxəlaj ʔamerika,,,https://en.wikipedia.org/wiki/Central_America,,
Central Intelligence Agency,GPE,ሴንትራል ኢንተለጀንስ ኤጀንሲ,senɨtɨral ʔinɨtələd͡ʒənɨs ʔed͡ʒənɨsi,,,,,
Central Region; Central; Central Zone,GPE,ዞባ ማእከል; ማእከል,zoba maʔɨkəl; maʔɨkəl,,,https://en.wikipedia.org/wiki/Central_Region_(Eritrea),,
Chacha,,,,Caaca,,,,
Chad,GPE,,,Chaad,,https://en.wikipedia.org/wiki/Chad,,
Chaffa Robi,,,,Caffaa Roobii,,,,
Chaffe Donsa,,,,Caffee Doonsaa,,,,
Chaffo,,,,Caffo,,,,
Chalalaka,,,,Calalqaa,,,,
Chalanko,,,,Calanqoo,,,,
Chalbi,,,,Calbii,,,,
Chamo,,,,Caamoo,,,,
Chancho,,,,Caancoo,,,,
Chanka,PER,,,Caanqaa,,https://en.wikipedia.org/wiki/Chanka,,
Chatham House,,ጉጅለ ቻትሃም,,,,,,
Cheliya,GPE,,,Calliyaa,,https://en.wikipedia.org/wiki/Cheliya,,
Chile,GPE,,,Chiilee,,https://en.wikipedia.org/wiki/Chile,,
China,GPE,ቻይና,t͡ʃajna,Chaayinaa,,https://en.wikipedia.org/wiki/China,,
Chinaksen; Chinhahsan,GPE,,,,,https://en.wikipedia.org/wiki/Chinhahsan,,
Chira,,,,Ciraa,,,,
Chiro,,,,Ciro,,,,
