English,Label,Tigrinya (TIR),Tigrinya (IPA),Oromo (Orm),Oromo (IPA),Wikipedia,KB ID,
Chirracha,,,,Cirracha,,,,
Chittu,,,,Cittuu,,,,
Chole,GPE,,,,,https://en.wikipedia.org/wiki/Chole_(woreda),,
Christian,PER,ክርስቲያናዊ,kɨrɨsɨtijanawi,,,https://en.wikipedia.org/wiki/Christian,,
Chukkala,,,,Hara Cuqqaalaa,,,,
Chulta Gurre Birki,,,,Cuultaa Gurree Birqii,,,,
Ciba-Geigy Corporation,ORG,ሲባ - ጄይጊይ ኮርፖሬሽን,siba - d͡ʒejɨɡij korɨporeʃɨn,,,https://en.wikipedia.org/wiki/Novartis#Ciba-Geigy,,
Cincinnati,GPE,ሲንሲናቲ,sinɨsinati,,,https://en.wikipedia.org/wiki/Cincinnati,,
Colin Powell,PER,ኮሊን ፓውል,kolin pawɨl,,,,,
Colombia,GPE,,,Kolombiyaa,,,,
Columbia University,ORG,ዩኒቨርስቲ ኮሎምብያ,,,,,,
Committee to Protect Journalists; CPJ,ORG,,,CPJ; Gaazexeesitootaa Eeguuf Dhaabate; Koreen Mirga Gaazexeessitotaa,,,,
Comoros,GPE,,,Komooroo,,,,
Congo,GPE,ኮንጎ,,Koongoo,,,,
Congo Brazzaville,GPE,,,Kongoo Biraazabil,,,,
Congo Kinshasa,GPE,,,Koongoo Kinshaasaa,,,,
Contra,PER,ኮንትራ,konɨtɨra,,,,,
"Convention against Torture and other Cruel, Inhuman or Degrading Treatment or Punishment",,,,,,,,
Corazon Aquino,PER,ኮራዞን ኣኩይኖ,korazon ʔakujno,,,,,
Costa Rica,GPE,ኮስታሪካ,kosɨtarika,Kostaa Rikaa,,,,
Cote D'ivoire,GPE,,,Kotee Dibiwaar,,,,
Croatia,GPE,,,Kirowaatiyaa,,,,
Cuba,GPE,ኩባ,kuba,Kuubaa,,,,
Cyprus,GPE,,,Sippiras,,,,
Czech Republic,GPE,,,Republika Cheekii,,,,
Dabana,,,,Daabanaa,,,,
Dabbahu Volcano,LOC,,,,,https://en.wikipedia.org/wiki/Dabbahu_Volcano,9883887,
Dabbus,,,,Daabbus,,,,
Dadar,,,,Dadar,,,,
Dagaga,,,,Dagaagaa,,,,
Dagam,,,,Dagam,,,,
Dahlak Archipelago,LOC,ዳህላክ,dahɨlak,,,https://en.wikipedia.org/wiki/Dahlak_Archipelago,,
Dalaffilla,LOC,,,,,https://en.wikipedia.org/wiki/Dalaffilla,9883889,
Dalatti,,,,Daalattii,,,,
Dallo Sarbo,,,,Dalloo Sarboo,,,,
Dallol,GPE,,,,,"https://en.wikipedia.org/wiki/Dallol,_Ethiopia",,
Dallol Volcano,LOC,,,,,https://en.wikipedia.org/wiki/Dallol_(volcano),9883897,
Damascus,GPE,ደማስቓስ,dəmasqʰas,,,,,
Dambi,,,,Dambii,,,,
Dambi Dollo,,,,Dambi Dolloo,,,,
Danakil Depression,LOC,,,,,https://en.wikipedia.org/wiki/Danakil_Depression,416461,
Danakil Desert,LOC,,,,,https://en.wikipedia.org/wiki/Danakil_Desert,,
Dandi Mountains,LOC,,,Gooroo Dandii,,,,
Danish People,PER,ደንማርካዊ,dənɨmarɨkawi,,,,,
Dannaba,,,,Dannaba,,,,
Dano,GPE,,,Daannoo,,https://en.wikipedia.org/wiki/Dano_(woreda),10375666,
Dase,,,,Dasee,,,,
David Del Conte,PER,,,,,,,
Dawro,,,,,,,,
Dawwa,,,,Dawwaa,,,,
Dawwe,,,,Daawwee,,,,
Debarwa,GPE,ድባርዋ,dɨbarɨwa,,,https://en.wikipedia.org/wiki/Debarwa,,
Debarwa Subregion,GPE,,,,,https://en.wikipedia.org/wiki/Debarwa,,
Debre Berhan,,,,,,,,
Debub; Debub Region; Southern Region,GPE,ዞባ ደቡብ; ደቡብ,zoba dəbub; dəbub,,,https://en.wikipedia.org/wiki/Southern_Region_(Eritrea),,
Degehabur,GPE,,,,,https://en.wikipedia.org/wiki/Degehabur,10399848,"There's 10399848, which is Degehabur Zone (https://en.wikipedia.org/wiki/Degehabur_Zone)"
Deir al-Balah,,ዴር ኣልባለህ,der ʔalɨbaləh,,,,,
Dejene Tafa,,,,,,,,
Dekemhare; Decamare,GPE,ደቀምሓረ,dəqəmɨħarə,,,https://en.wikipedia.org/wiki/Dekemhare,,
Dembidolo,GPE,,,Dambi Dooloo,,https://en.wikipedia.org/wiki/Dembidolo,339448,
Democratic Republic of the Congo,GPE,ዲሞክራቲክ ሪፑብሊክ ኮንጎ,dimokratik ripublik konɡo,Republikii demokraatawaa koongoo,,,203312,
Dendi,GPE,,,,,https://en.wikipedia.org/wiki/Dendi_(woreda),7670628,
Denkalia,GPE,,,,,https://en.wikipedia.org/wiki/Denkalia,,
Denmark,GPE,,,Denmaarkii,,,,
Dennis Sassou Nguesso,PER,ደኒስ ሳሶው ንጎሶ,,,,,,
Derg,ORG,,,Dargii,,,,
Dhera,,,,Dheeraa,,,,
Diddessa,,,,Dhiddheessa,,,,
Digvijay Singh,PER,ዲጂቪጄይ ሲንግ,did͡ʒivid͡ʒej sinɨɡ,,,,,
Diksis,,,,Diksiis,,,,
Dilalla,,,,Diilallaa,,,,
Dilla,,,,,,,,
Dima,,,,Diimaa,,,,
Dimtuu,,,,Diimtuu,,,,
Dinka Chala,,,,,,,,
Dinsho,,,,Diinsho,,,,
Dirashe,,,,,,,,
Dire Dawa; Dirre Dhawa,GPE,,,Dirre Dhawaa; Dirre Dawaa; Dirree Dhawaa,,https://en.wikipedia.org/wiki/Dire_Dawa,338832,
Djibouti,GPE,ጂቡቲ; ጅቡትን,d͡ʒɨbutɨ; d͡ʒɨbutɨn,Jibuutii; Jabuutii,,https://en.wikipedia.org/wiki/Djibouti,223816,
Djibouti City,GPE,,,,,https://en.wikipedia.org/wiki/Djibouti_City,223817,
DMHT,ORG,ዴምህት,,,,,,
Dobba,,,,Doobbaa,,,,
Doctors without Borders; MSF; Médecins Sans Frontières,ORG,ሓካይም ብዘይዶብ; ኤም ኤስ ኤፍ,,,,,,
Dodola woreda,GPE,,,Dodola,,,,
Dollo,GPE,,,Noonnoo,,"https://en.wikipedia.org/wiki/Nono,_Shewa",330063,
Dominica,GPE,,,Dominikaa,,,,
Dominican Republic,GPE,,,Republika Dominikaa,,,,
Donald Rumsfeld,PER,ዶናልድ ራምስፊልድ; ዶናልድ ራምስ,donalɨd ramɨsɨfilɨd; donalɨd ramɨs,,,,,
Donald Tusk,PER,ዶናልድ ታስክ,donalɨd tasɨk,,,,,
Donald Trump,PER,,,Doonaald Traamp,,https://www.voaafaanoromoo.com/a/traamp-gorsaa-gameessa-hojii-irraa-arian-/3991449.html,,
Dongoro,,,,Dongoroo,,,,
Doni,,,,Doonii,,,,
Doriya,,,,Dooriyaa,,,,
Dover,GPE,ዶቨር,,,,,,
Dubar,,,,Dubar,,,,
Dukam,,,,Duukam,,,,
East Africa,LOC,,,,,https://en.wikipedia.org/wiki/East_Africa,,
East Gojjam Zone,GPE,,,,,https://en.wikipedia.org/wiki/East_Gojjam_Zone,7670724,
East Hararge,GPE,,,Harargee Bahaa,,,,
East Hararghe Zone,GPE,,,Harargee Bahaa; Godina Harargee Bahaa,,https://en.wikipedia.org/wiki/East_Hararghe_Zone,7732970,
East Shawa,GPE,,,Shawaa Bahaa,,,,
East Shewa Zone,GPE,,,Baha Shawaa; Godina Baha Shawaa,,https://en.wikipedia.org/wiki/East_Shewa_Zone,7670720,
East Welega Zone; East Wellega Zone; East Wollega Zone; East Wallagga,GPE,,,Wallagga Bahaa; Godina Wallagga Bahaa,,https://en.wikipedia.org/wiki/East_Welega_Zone,7670721,
Ebibiyin ,GPE,,,Ebeebiyiin,,city in Equatorial Guinea,,
Ebisa Adunya,,,,,,,,
Ecuador,GPE,,,Ekuwadoor,,,,
Eddo,,,,Eddoo,,,,
EDFL,ORG,ደግሓኤ,dəɡɨħaʔe,,,,,
Efrem Gebrekristos,PER,,,,,,,
Egypt,GPE,,,Gibxii; Ijiipti,,,,
Ehud Barak,PER,ኣይሁድ ባራክ,ʔajɨhud barak,,,,,
Ejaji,,,,Ijaajjii; Ajaji,,,,
Ejere,,,,Ejeree,,,,
Ejersa,,,,Ejersa,,,,
Ejersa Goro,,,,Ejersa Gooroo,,,,
El Salvador,GPE,,,Elsalbadoor,,,,
ELF Revolutionary Council,ORG,ተሓኤ ሰውራዊ ባይቶ,təħaʔe səwɨrawi bajɨto,,,,,
Elliott Abrams,PER,ኢሊየት አብራምስ,ʔilijət ʔəbɨramɨs,,,,,
Elemo Qiltu,,,,Elemoo Qilxuu,,,,
Emile Lahoud,,ኢሚሌ ላሁድ,ʔimile lahud,,,,,
Endowment Fund for the Rehabilitation of Tigray; EFFORT,ORG,,,,,,,
Environmental Impact Assessments; EIA,,,,,,,,
Equatorial Guinea,GPE,,,Ekuwaatooriyaal Giinii; Giinii Mundhilafaa,,,,
Erer,,,,Erer,,,,
Erer Gota,,,,Erer Gootaa,,,,
Eritrea,GPE,ኤርትራ;ኤርትራውያን;ኤርትራን,ʔerɨtɨra,Eeritiraa; Eertiraa; Ertiraa,,https://en.wikipedia.org/wiki/Eritrea,338010,
Ethiopian Broadcasting Corporation; EBC; ETV,ORG,,,Koroporeeshiinii Biroodkaastii Itiyoopiyaa; EBC,,,,
Eritrean Defence Forces; Defense Force,ORG,ሓይልታት ምክልኻል,ħajɨlɨtat mɨkɨlɨxal,,,https://en.wikipedia.org/wiki/Eritrean_Defence_Forces,,
Eritrea–Ethiopia Boundary Commission; EEBC,ORG,,,,,,,
Eritrean Liberation Front; ELF,ORG,ተሓኤ,təħaʔe,,,,,
Eritrean People's Liberation Front; EPLF,ORG,ህዝባዊ ግንባር,,Adda Bilisummaa uummata Eritraa,,,,
Estonia,GPE,,,Istooniyaa,,,,
Ethiopia,GPE,ኢትዮጵያ,ʔitɨjopʼɨja,Itiyoophiyaa; Itoophiyaa; Itoopiyaa; Toophiyaa; Itiyoopiyaa; Itoophiya; Ixoophiyaa; Itiyoophiyaa; Itophiyaa,,https://en.wikipedia.org/wiki/Ethiopia,337996,
Ethiopia Human Rights Commission,ORG,,,,,,,
Ethiopia Human Rights Project; EHRP,ORG,,,,,,,
Ethiopian Civil Aviation Authority,ORG,,,,,,,
Ethiopian Embassy,ORG,ኤምባሲ ኢትዮጵያ,,,,,,
IHADEG; Iyaadig; Yaadiq; Ihaadiq; IHADEGf; IHADEGs,ORG,ኢህወደግ,,IHADEG; Iyaadig; Yaadiq; Ihaadiq,,https://en.wikipedia.org/wiki/Ethiopian_People%27s_Revolutionary_Democratic_Front,71000041,
Europe,LOC,ኣውሮጳ ; ኤውሮጳ; ኣውሮጳ,ʔewɨropʼa; ʔewropʼa; ʔawropʼa,Yuurooppi; Oroppaa; Awurooppaa; Awrooppaa,,,6255148,
European Parliament,ORG,ፓርላማ ኤውሮጳዊ ሕብረት,parɨlama ʔewɨropʼawi ħɨbɨrət,Paarlaaman Awuroppa,,,,
European Union; EU,ORG,ኤውሮጳዊ ሕብረት; ሕብረት ኣውሮጳን; ሕብረት ኤውሮጳን,ʔewɨropʼawi ħɨbɨrət; ħɨbɨrət ʔawɨropʼan; ħɨbrət ʔewropʼan,,,,,
Eutelsat,,,,,,,,
Evian,ORG,ኢቪያን,ʔivijan,,,,,
FAA,ORG,ኤፍኤኤ,ʔefɨʔeʔe,,,,,
Facebook,ORG,,,Feesbuuk; Feesbuukii,,,,
Fafan,,,,,,,,
Fafan,,,,Faafan,,,,
Faisalabad,,ፋይሳልኣባድ,fajsalʔabad,,,,,
Fantena Rasu,,,,,,,,
Fatah,ORG,ፋታሕ,fataħ,,,,,
Federal Aviation Administration,ORG,ምምህዳር ፌደራል አቪየሽን,mɨmɨhɨdar fedəral ʔəvijəʃɨn,,,,,
Fentale,,,,,,https://en.wikipedia.org/wiki/Fentale,337838,
Fesehaye Haile,PER,,,,,,,
Feyisa Lilesa,,,,Fayyisaa Leellisaa,,https://en.wikipedia.org/wiki/Feyisa_Lilesa,,
Fiche,PER,,,Fiche,,,,
Fiji,GPE,,,Fiijii,,,,
Fik; Fiq,,,,,,,,
Fikadu Mirkana,,,,Fiqaaduu Mirkaanaa; Fiqaadu Mirkanaa,,,,
Filtu,,,,Filtuu,,,,
Financial Services Authority; FSA,ORG,ፋይናንሳዊ ግልጋሎት,fajnansawi ɡɨlɡalot; fɨsa,,,,,
Fincha'a; Fincha,,,,Fincaa'aa,,,,
Finchawa,,,,Fincaawa,,,,
Finland,GPE,,,Finlaandii,,,,
Florence,GPE,ፍሎረንስ,fɨlorənɨs,,,,,
Florida,GPE,ፍሎሪዳ,fɨlorida,,,,,
Food and Drug Administration,ORG,ሞምሕዳር ምግቢን መድሃኒትን,momħɨdar mɨɡbin mədhanitɨn,,,,,
Fort Hood,LOC,ፎርትሁድ,fortɨhud,,,,,
Forto,,ፎርቶ,,,,,,
Forto Sawa,,ፈርቶ ሳዋ,,,,,,
France,GPE,ፈረንሳ,fərənɨs,Firaansi; Faransaa,,,,
Franco Gabrielli,PER,ፍራንኮ ጋብሪየሊ,fɨranko ɡabrijəli,,,,,
Frankfurt,GPE,,,Firaankifurtii,,,,
Funyan Bira,,,,Funyaan Biraa,,,,
Gabba,,,,Gabba,,,,
Gabi Rasu,PER,,,,,,,
Gabon,GPE,,,Gaabon; Gaaboon,,,,
Gachi,,,,Gachii,,,,
Gafarsa,,,,Hara Gafarsa,,,,
Galamso,,,,Galamso,,,,
Gambela People's Democratic Movement,ORG,,,,,,,
Gambela Region,GPE,ጋምቤላ; የጋምቤላ,,Naannoo Gaambeellaa;Gaambeellaa,,https://en.wikipedia.org/wiki/Gambela_Region,444183,
Gambia,GPE,,,Gaambiyaa,,,,
Gamo Gofa Zone,GPE,,,Gamuu-Gofaa,,https://en.wikipedia.org/wiki/Gamo_Gofa_Zone,,
Ganale,,,,,,,,
Ganale military camp,LOC,,,,,,,
Ganji,,,,Ganjii,,,,
Gannale,,,,Gannaalee,,,,
Garba,,,,Garbaa,,,,
Garba Gurracha,,,,Garba Gurraacha,,,,
Gasara,,,,Gasaraa,,,,
Gash-Barka Region; Gash-Barka,GPE,ጋሽ-ባርካ; ዞባ ጋሽ ባርካ; ጋሽ ባርካ,ɡaʃɨ-barɨka; zoba ɡaʃ barɨka; ɡaʃ barɨka,,,https://en.wikipedia.org/wiki/Gash-Barka_Region,,
Gash-Setit,LOC,,,,,https://en.wikipedia.org/wiki/Gash-Setit,,
Gattira,,,,Gaattiraa,,,,
Gaza,GPE,ቃዛ,qaza,,,,,
Gaza City,GPE,ከተማ ጋዛ,kətəma ɡaza,,,,,
Gaza Strip,GPE,ወሽመጥ ቃዛ,wəʃɨmətʼ qaza,,,,,
Gebre,,ገብራይ,,,,,,
Gebru,,ገብሩ,,,,,,
Gedeo,,,,,,https://en.wikipedia.org/wiki/Gedeo_Zone,7670732,
Gedo,,,,Geedoo,,,,
Gegrgis Ghirmai,PER,,,,,,,
Gembe,,,,Gembee,,,,
General Mills,ORG,ጄኔራል ሚልሥ,d͡ʒeneral milɨs,,,,,
Geneva,GPE,,,Jenebaa,,,,
Gentiloni,PER,ጀንቲሎኒ,,,,,,
Genzebe Dibaba,PER,,,Genzebee Dibaabaa,,https://en.wikipedia.org/wiki/Genzebe_Dibaba,,
George H. W. Bush,PER,ቡሽ,buʃ,,,https://en.wikipedia.org/wiki/George_H._W._Bush,,
George Mitchell,PER,ጆርጅ ሚሽል,d͡ʒorɨd͡ʒ miʃɨl,,,,,
George W. Bush,PER,ጆርጅ ደብሊው ቡሽ,d͡ʒorɨd͡ʒ dəbliw buʃ,,,,,
Georgetown University,ORG,ጆርጅታውን ዩኒቨርስቲ,d͡ʒord͡ʒɨtawɨn junivərsɨti,,,https://en.wikipedia.org/wiki/Georgetown_University,,
Georgia,GPE,,,Joorjiyaa,,,,
Germany,GPE,ጀርመን; ግርማይ,d͡ʒərɨmən,Biyya Jarmanii,,,,
Getachew Reda,PER,,,,,,,
Getachew Shiferaw,PER,,,,,,,
Ghana,GPE,,,Gaanaa,,,,
Gibe,,,,Gibe,,,,
Gibe Kalla,,,,Gibe Qalldhaa,,,,
Gidami,,,,Gidaamii,,,,
Gidda Ayyana,,,,Giddaa Ayyaanaa,,,,
Gida Kiremu,,,,Kiiramuu,,,,
Gimbi,,,,Gimbii,,https://en.wikipedia.org/wiki/Gimbi,336495,
Ginbot 7,ORG,,,,,https://en.wikipedia.org/wiki/Ginbot_7,71000055,
Ginchi,,,,Giincii,,,,
Ginde Beret,,,,Gindabarat,,https://en.wikipedia.org/wiki/Ginde_Beret,,
Gindo,,,,Gindo,,,,
Ginnir,,,,Gindhir,,,,
Girma Seifu,PER,,,Girmaa Sayifuu,,https://en.wikipedia.org/wiki/Girma_Seifu,,
Gobba,,,,Gobba,,,,
Gobessa,,,,Gobeessa,,,,
Godere woreda,GPE,,,,,,,
Gojjo,,,,Goojjoo,,,,
Gojjota,,,,Goojjota,,,,
Gololcha,,,,,,,,
Gomma woreda,GPE,,,,,,,
Gondar,GPE,,,Gondar,,https://en.wikipedia.org/wiki/Gondar,336014,
Gore,,,,Goree,,,,
Gordon Brown,PER,ጎርደን ብራውን,ɡordən bɨrawɨn,,,,,
Gori,,,,Gorii,,,,
Goro Bale,,,,Gooroo Baalee,,,,
Goro Sole,,,,Gooroo Soolee,,,,
Goro Waliso,,,,Gooroo Walisoo,,,,
Goshu Wolde,,ጎሹ ወልዴ,,,,,,
Government Communication Affairs Office,ORG,መግቢያ,,GCAO,,,71000080,
Great Rift Valley,LOC,,,,,"https://en.wikipedia.org/wiki/Great_Rift_Valley,_Ethiopia",957928,
Greece,GPE,ግሪኽን,ɡɨrixɨn,Giriik; Biyaa Giriikii,,,,
Greenland,GPE,ግሪንላንድን,ɡɨrinlandɨn,,,,,
Grenada,GPE,ግሪንዳድ,ɡɨrindad,Girenaadaa,,,,
The Guardian,ORG,,,Ze Gaardiyaan,,,,
Guatemala,GPE,,,Guwatimaalaa,,,,
Gudar,,,,Gudar,,,,
Guest House,ORG,ገስት ሃውስ,ɡəsɨt hawɨs,,,,,
Guinea,GPE,,,Giinii,,,2420477,
Guinea Bissau,GPE,,,Giinii Bisaawu,,,,
Guji Zone,GPE,,,Godina Gujii,,https://en.wikipedia.org/wiki/Guji_Zone,8299785,
Gulf of Aden,LOC,,,,,https://en.wikipedia.org/wiki/Gulf_of_Aden,80303,
Gulf of Zula; Annesley Bay; Baia di Arafali; Zula Bahir Selat’ē,LOC,,,,,https://en.wikipedia.org/wiki/Gulf_of_Zula,,
Gullallee,,,,Gullallee,,,,
Gulliso,,,,Gullisoo,,,,
Gumuruk,,,,Gumuruk,,,,
Guraferda,GPE,,,Gura Ferdaa,,https://en.wikipedia.org/wiki/Guraferda,335505,
Gurage; Guraghe,GPE,,,Guraagee,,https://en.wikipedia.org/wiki/Gurage_Zone,341021,
Gurra Dhamole,,,,Gurra Dhaamolee,,,,
Gurura,,,,Gur'uraa,,,,
Guruwa,,,,Guruwaa,,,,
Guyana,,,,Guyaanaa,,,,
Hadiya,,,,,,,,
Haifa,,ሀይፋ,həjfa,,,,,
Haile Selassie,PER,ቀዳማዊ ኃይለ ሥላሴ; ኃይለ ሥላሴ,,Hayila Sillaasee; Hayla Sillaasee; Hayle Sillaasee,,Haylamaariyaam Daassalanyii; Haylamaariyam Dasaalany; Haylamaariyaam Dassaalany; Haylamaaram Dassaalenyi; Haylee-Maariyam Dessaalenyi; Haayila Mariyaam Dassaalany; Hayile-maariyaam Dessaaleyi; Haile-mariyaam Dessaalenyi; Hayile-maariyaam Desaaleyi; Haile Maariyaam Dessaaleny; Hayila Mariyaam Dassaaleeny,71000119,
Hailemariam Desalegn,PER,ኃይለማሪያም ደሳለኝ,,Haylamaariyaam Daassalanyii; Haayile Maariyaam; Haylamaariyam Dasaalany; Haylamaariyaam Dassaalany; Haylamaaram Dassaalenyi; Haylee-Maariyam Dessaalenyi; Haayila Mariyaam Dassaalany; Hayile-maariyaam Dessaaleyi; Haile-mariyaam Dessaalenyi; Hayile-maariyaam Desaaleyi; Haile Maariyaam Dessaaleny; Haayla Maariyaam; Hayilemaariyaam Dessaalenyi; Haayle Maariyaam Dessaaleny,,,30001679,
Haiti,GPE,,,Hayitii,,,,
Halhal; Hal-Hal,GPE,,,,,"https://en.wikipedia.org/wiki/Halhal,_Eritrea",,
Hamad bin Jassem bin Jabr al-Thani,PER,ሓማድ ቢን ጃሲም ቢን ጃብር ኣል ጣኒ,ħamad bin d͡ʒasim bin d͡ʒabɨr ʔal tʼani,,,,,
Hamas,ORG,ሃማስ,hamas,,,,,
Hamasien,,ሓማሴን,ħamasen,,,https://en.wikipedia.org/wiki/Hamasien,,
Hamburg,GPE,,,Hamburgii,,,,
Hara Maya; Haramaya; Alemaya,GPE,,,Hara Maayaa; Haromaayaa,,,,
Harar,GPE,,,Harar,,,,
Hararghe,GPE,,,,,https://en.wikipedia.org/wiki/Hararghe,,
Harari Region,GPE,,,Naannoo Hararii;Hararii,,https://en.wikipedia.org/wiki/Harari_Region,444184,
Harato,GPE,,,Haratoo,,,,
Harawacha,,,,Harawaaca,,,,
Harbu,,,,Harbuu,,,,
Harbu Chululle,,,,Harbuu Culullee,,,,
Hari Rasu,,,,,,,,
Haro Dibbe,,,,Haroo Dibbee,,,,
Haro Dumal,,,,Haroo Dumaal,,,,
Haro Hara Liban,,,,Haroo Hara Liiban,,,,
Harsadi,,,,Harsadii,,,,
Harvard Medical School,ORG,ሐርቫርድ ህክምና ቤት ትምህርት,ħərɨvarɨd hɨkɨmɨna bet tɨmɨhɨrɨt,,,,,
Harwich,GPE,ሃርዊች,harɨwit͡ʃ,,,,,
Hatayye,,,,Haxaayyee,,,,
HazHaz,,ሓዝሓዝ,ħazħaz,,,,,
Hebron,GPE,ሔብሮን,ħebɨron,,,,,
Herero,,,,Hereero,,,,
Hiddi Lola,,,,Hiddii Lolaa,,,,
Hidilola,,,,,,,,
Higdef,,,,,,,,
Hirna,,,,Hirnaa,,,,
Ho Chi Minh City,GPE,,,Magaalaa Hochi Minii,,,,
Holland,GPE,ሆላንድ,holanɨd,,,,,
Holota,,,,Hoolota; Holota,,,,
Honduras,GPE,ሐን ዱራስ,ħən duras,Honduraas,,,,
Honqolloo,,,,Honqolloo,,,,
Horn of Africa,LOC,ቀርኒ ኣፍሪቃ,qərɨni ʔafɨriqa; qərni ʔafriqa,Gaanfi Afrikaa; Gaafa Afrikaa,,,,
Horo Guduru Welega Zone,GPE,,,Horroo Guduruu; Godina Horroo Guduruu,,https://en.wikipedia.org/wiki/Horo_Guduru_Welega_Zone,,
House of Commons,ORG,ኮሚቴታት ባይቶ እንግሊዝ,komitetat bajto ʔɨnɡɨlizɨ,,,,,
Hull,,ሃል,hal,,,,,
Hulluka,,,,Hulluuqaa,,,,
Human Rights Council Ethiopia; HRCO,ORG,,,,,,,
Human Rights League Horn of Africa; HRLHA,ORG,,,,,,,
Human Rights Watch,ORG,ተጠባቒ ሰብኣዊ መሰላት; ሂማን ራይትስ ዎች,,Hiyumaan Raaytis Waach; Humaan Raayiit Waach; Hiyumaan Raayit Wochiin; Hiyumaan Rayit Wochiin;,,,71000048,
Humora,,ከተማ ሑመራ,,,,,,
Hungary,GPE,ሃንጋሪ,hanɨɡari,Hungaariyaa,,,,
Hurrumu,,,,Hurruumuu,,,,
Hursa,,,,Huursaa,,,,
Huruta,,,,Hurutaa,,,,
Ibadan,,,,Ibaadan,,,,
Ibsa,,,,Ibsaa,,,,
Iceland,GPE,,,Islaandii,,,,
Idi,GPE,ዕዲ,ʕɨdi,,,"https://en.wikipedia.org/wiki/Edd,_Eritrea",,
Idris Muhammad Adam,,ንእድሪስ ሙሓመድ አደም,,,,,,
IGAD,,ኢጋድ,ʔiɡad,,,,,
Ijajji,,,,Ijaajjii,,,,
Illubabor Zone,GPE,,,Illuu Abbaa Booraa; Illuu Abbaaboor; Ilu-abbaabooraa,,https://en.wikipedia.org/wiki/Illubabor_Zone,7732965,
Ilubba Bora,,,,Ilubbaa Booraa,,,,
Inango,,,,Inaangoo,,,,
Inchinni Metta,,,,Incinnii Meettaa,,,,
Inchinnii Liban,,,,Incinnii Liiban,,,,
India,GPE,ህንዲ,hɨnɨdi,Biyya Hindii,,,,
Indian Ocean,LOC,,,Garba Indiyaa; Maanya Hindii,,https://en.wikipedia.org/wiki/Indian_Ocean,1545739,
Indians of the Andes,PER,ህንዳዊያን አንደስ,hɨnɨdawijan ʔənɨdəs,,,,,
Indonesia,GPE,,,Indoneesiyaa,,,,
International Convention for the Protection of All Persons from Enforced Disappearance,,,,,,,,
International Covenant on Civil and Political Rights; ICCPR,,,,,,,,
International Monetary Fund,ORG,ኣህጉራዊ ገንዘባዊ ትካል,,IMF; Dhaabara Qabeenya Addunyaa; Dhaabiin Maallaqa Addunyaa,,,20000126,
International Organization for Migration,ORG,ኣህጉራዊ ማሕበር ስደተኛታት; ኣህጉራዊ ውድብ ጉዳይ ስደተኛታት,ʔahɨɡurawi maħɨbər sɨdətəɲatat,,,https://en.wikipedia.org/wiki/International_Organization_for_Migration,20000128,
International Red Cross,ORG,ኣህጕራዊ ቀይሕ መስቀል,ʔahɨɡʷɨrawi qəjɨħ məsɨqəl,,,https://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,,
International Red Cross Society,ORG,ኣህጉራዊ ማሕበር ቀይሕ መስቀል,ʔahɡurawi maħbər qəjɨħ məsqəl,,,,,
International Telecommunications Union; ITU,ORG,,,,,,,
Iowa,GPE,አዮዋ,ʔəjowa,,,,,
Iran,GPE,,,Iraan,,,,
Iraq,GPE,ኢራቕ,ʔiraqʰ,Iraaq,,,,
Ireland,GPE,,,Irlaandii,,,,
