English,Label,Tigrinya (TIR),Tigrinya (IPA),Oromo (Orm),Oromo (IPA),Wikipedia,KB ID,
Rajasthan,,ራጃስትሃን,rad͡ʒastɨhan,,,,,
Ramadan Osman Awliyai,PER,,,,,,,
Ramallah,GPE,ራማላህ,ramalah,,,,,
Rammis,,,,Raammis,,,,
Ras Dejen; Ras Dashen; Ras Dashan,LOC,,,Raash Daashin,,https://en.wikipedia.org/wiki/Ras_Dashen,329710,
Red Crescent,ORG,ቀይሕ ወርሒ,qəjɨħ wərɨħi,,,https://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,,
Red Cross,ORG,ቀይሕ መስቀል,qəjɨħ məsɨqəl,,,https://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,,
Red Sea,LOC,,,Galaana Diimaa; Garba Diimaa,,https://en.wikipedia.org/wiki/Red_Sea,102358,
Rejji,,,,Reejjii,,,,
Richland,GPE,ሪችላንድ,,,,,,
Rift Valley University,ORG,,,,,https://en.wikipedia.org/wiki/Rift_Valley_University_College,,
Rio,GPE,ሪሆ,,Riyoo,,,3451189,
Rio de Janeiro,GPE,ሪሆ ቴ ተኔሂሮ,,Riiyoo Di Jeneroo,,https://en.wikipedia.org/wiki/Rio_de_Janeiro,3451189,
Robe,GPE,,,,,https://en.wikipedia.org/wiki/Robe_(woreda),329608,
Robe Arsi,,,,Roobe Arsii,,,,
Robe Bale,,,,roobe Baalee,,,,
Robert Dole,PER,ሮበርት ደል,robərɨt dəl,,,,,
Roger Middleton,PER,ሮጀር ሚድልተን,,,,,,
Rogge Ammayya,PER,,,Roggee Ammayyaa,,,,
Romania,GPE,,,Rumaaniyaa,,,,
Rosa Parks,PER,ሮዛ ፓርክስ,roza parɨkɨs,,,,,
Rotterdam,GPE,ሮተርዳም,rotərɨdam,Roterdaam,,,,
Russia,GPE,ሩስያዊያ; ራስያ; ሩሲያን,rusɨja; rasja; rusijan,Rusiyaa; Raashiyaa,,,,
Rwanda,GPE, ሩዋንዳ; ርዋንዳ; ሩዋንዳን,ruwanda; rɨwanda,Ruwaandaa,,,,
Sabratha,,ሳብራታ,sabɨrata,,,,,
Sacramento,GPE,ሳክራመንቶ,,,,,,
Saddam Hussein,PER,ሳዳም ሁሴን,sadam husen,,,https://en.wikipedia.org/wiki/Saddam_Hussein,,
Sagan,,,,Saagan,,,,
Sagm,,ሳግም,saɡɨm,,,,,
Sagm,,ሳግምን,saɡɨmɨn,,,,,
Sagure,,,,Saaguee,,,,
Sahara,LOC,ሳሃራ,sahara,,,,,
Sahel,LOC,,,,,https://en.wikipedia.org/wiki/Sahel_(Eritrea),,
Sahiwal,,ሳሂዋል,sahiwal,,,,,
Saint Kitts and Nevis,GPE,,,Seenti Kitii fi Nebis,,,,
Saint Lucia,GPE,,,Seenti Luchiyaa,,,,
Saint Vincent and Grenadines,GPE,,,Seenti Binchentii fi Girenadiin,,,,
Sakka,,,,Saqqaa,,,,
Sakkata,,,,Saaqqata,,,,
Saku,,,,Saaku,,,,
Salem Bus Line,ORG,,,,,,,
Sambate,,,,Sambatee,,,,
Garba Meditraaniyaa,GPE,,,Garba Jiddugaleessa,,,,
Samoa,GPE,,,Samowaa,,,,
San Francisco,GPE,ሳንፍራንሲስኮ,sanfɨransisko,,,,,
San Jose,GPE,ሣንጆሴ,sand͡ʒose,,,,,
San Marino,GPE,,,Saan Mariinoo,,,,
Sana'a,GPE,የመን,sənɨʕa,,,,,
Sanakle,,,,,,,,
Sandafa,,,,Sandaafa,,,,
Sandinistas,PER,ሳንዲስታታት,sanɨdisɨtatat,,,,,
Sao Tome and Principe,GPE,,,Sawo Toomee fi Pirinsippii,,,,
Sarbo,,,,Sarboo,,,,
Sasigga,,,,Saasiggaa,,,,
Saud al-Faisal,PER,ሳውድ ኣል - ፋይሳል,sawɨd ʔal - fajsal,,,,,
Saudi Arabia,GPE,ሳውዲ ዓረቢያ; ሰዑዲ ዓረብ,sawɨdi ʕarəbija,Saudi Arabiya; Sa'uudi Arabiya; Suud Arabiyaa; Sawudii Arabiyaa,,https://en.wikipedia.org/wiki/Saudi_Arabia,102358,
Sawa,,ሳዋ,sawa,,,,,
Sayyo,,,,sayyoo,,,,
Seattle,GPE,ስያትል,sɨjatɨl,,,,,
Sebderat,,,,,,,,
Seden Sodo,GPE,,,Sadan Sooddoo,,https://en.wikipedia.org/wiki/Seden_Sodo,10375733,
Semhar,LOC,,,,,https://en.wikipedia.org/wiki/Semhar,,
Semayawi Party,ORG,,,Semaayaawii,,https://en.wikipedia.org/wiki/Semayawi_Party,,
Senafe,GPE,ሰንዓፈ,sənɨʕafə,,,https://en.wikipedia.org/wiki/Senafe,,
Senegal,,,,Sengaal; Senegaal,,,,
Senhit,GPE,,,,,https://en.wikipedia.org/wiki/Senhit,,
Serae; Seraye,GPE,ሰራየ,sərajə,,,https://en.wikipedia.org/wiki/Serae,,
Seraro woreda,GPE,,,,,https://en.wikipedia.org/wiki/Seraro,8643794,
Serbia,GPE,ሰርቢያ,sərɨbija,,,,,
Serbia and Montenegro,GPE,,,Sarbiyaa fi Montenegroo,,,,
Serofta,,,,Seeroftaa,,,,
Seru,GPE,,,Seeruu,,https://en.wikipedia.org/wiki/Seru,7029359,
Seychelles,GPE,,,Sechiliis,,,,
Shabbe,,,,Shabbee,,,,
Shaebia,,,,,,,,
Shaggar,,,,Shaggar,,,,
Shaki,,,,Shakii,,,,
Shakiso,GPE,,,,,https://en.wikipedia.org/wiki/Shakiso,328715,
Shakkiso,,,,Shaakkisoo,,,,
Shala,,,,Shaalaa,,,,
Shambu,,,,Shaambu,,,,
Shanan,,,,Shanan,,,,
Shanghai,GPE,,,Shaangaay,,,,
Shano,,,,Shano,,,,
Shashamanne,,,,Shaashamannee,,,,
Shashemene; Shashamane,GPE,,,Shashemane; Shaashemannee,,https://en.wikipedia.org/wiki/Shashamane,328688,
Shayya,,,,Shaayyaa,,,,
Sheka,,,,,,,,
Shimon Peres,PER,ሽምን ፔሬዝ,ʃɨmɨn perez,,,,,
Shinine,,,,,,,,
Shira,,ከተማ ሽረ,,,,,,
Shirbo,,,,Shirboo,,,,
Shire Arsi,,,,Shiree Arsii,,,,
Shoa: Shewa,,,,Shawaa,,https://en.wikipedia.org/wiki/Shewa,,
Shoboka,,,,Shoboka,,,,
Sibu Sire,,,,Siibuu Siree,,,,
Sicily,GPE,ሲቺልያ,sit͡ʃilɨja,,,,,
Sidama,,ሲዳማ,,,,https://en.wikipedia.org/wiki/Sidama_people,,
Sidama Zone,,,,Sidaamoo; Sidaamaa,,https://en.wikipedia.org/wiki/Sidama_Zone,8299784,
Sidhpur,,ሲድህፑር,sidɨhɨpur,,,,,
Sidon,,ሲዶን,sidon,,,,,
Sierra Leone,GPE,,,Seraliyoon,,,,
Silt'e Zone; Siltie Zone,,,,Silxee,,https://en.wikipedia.org/wiki/Silt%27e_Zone,7670728,
Silvan Shalom,,ሲልቫን ሻሎም,silvan ʃalom,,,,,
Sinai Desert,LOC,ሲናይ,,,,,,
Singapore,GPE,,,Singapoor,,,,
Singapore Airlines,ORG,ሲንጋፐር ኣየር,,,,,,
Sioux City,GPE,ከተማ ሲኦክስ,kətəma siʔokɨs,,,,,
Sire Arsi,,,,Siree Arsii,,,,
Sire Robi,,,,Siree Roobii,,,,
Sitti Zone,GPE,,,,,https://en.wikipedia.org/wiki/Sitti_Zone,,
Sky Bus Transport System,ORG,,,,,https://en.wikipedia.org/wiki/Sky_Bus_Transport_System,,
Slovakia,GPE,,,Islobaakiyaa; Islobeeniyaa,,,,
Sodare,,,,Soodaree,,,,
Sodoma,,,,,,,,
Sokorru,,,,Sokorruu,,,,
Solomo,,,,Soolomo,,,,
Solomon Islands,GPE,,,Odoolota Solomon,,,,
Somali,GPE,ሶማል,,Somaalee,,,51537,
Somali Region; Somali Regional State,GPE,,,,,https://en.wikipedia.org/wiki/Somali_Region,444186,
Somalia,GPE,ሶማሊያ; ሶማል,somalija; somal,Somaaliyaa,,https://en.wikipedia.org/wiki/Somalia,51537,
Somaliland,GPE,,,,,https://en.wikipedia.org/wiki/Somaliland,328195,
Sor,,,,Soor,,,,
South Africa,GPE,ደቡባዊ አፍሪካ; ደቡብ ኣፍሪቃ,dəbubawi ʔəfrika; dəbub ʔafriqa,Afrikaa Kibbaa; Aafrikaa Kibbaa,,,,
South America,LOC,,,Ameerikaa Kibbaa,,,,
South Gondar Zone,GPE,,,,,https://en.wikipedia.org/wiki/South_Gondar_Zone,7869861,
South Korea,GPE,,,Koriyaa Kibbaa,,,,
South Omo Zone,GPE,,,,,https://en.wikipedia.org/wiki/South_Omo_Zone,10377041,
South Sudan,GPE,ደቡብ ሱዳን,,Sudaan Kibbaa,,https://en.wikipedia.org/wiki/South_Sudan,7909807,
South Wollo Zone,GPE,,,,,https://en.wikipedia.org/wiki/South_Wollo_Zone,7732961,
Southern Ethiopian People's Democratic Movement,ORG,,,,,https://en.wikipedia.org/wiki/Southern_Ethiopian_People%27s_Democratic_Movement,NIL,
"Southern Nations, Nationalities, and Peoples' Region; SSNPR",GPE,,,Naannoo Sabaa fi Sab-lammoota Ummattoota Kibbaa,,"https://en.wikipedia.org/wiki/Southern_Nations,_Nationalities,_and_Peoples%27_Region",444188,
Southern Red Sea Region,GPE,ዞባ ደቡባዊ ቀይሕ ባሕሪ,zoba dəbubawi qəjɨħ baħɨri,,,https://en.wikipedia.org/wiki/Southern_Red_Sea_Region,,
Southwest Shewa Zone,GPE,,,Shawaa Kibba-lixaa; Shawaa Kill Lixaa,,https://en.wikipedia.org/wiki/Southwest_Shewa_Zone,7670717,
Soyyama,,,,Sooyyama,,,,
Spain,GPE,ስጳኛን; ስጳኛን; ስጳኝ,sɨpʼaɲa; sɨpʼaɲ,Ispaanyaa,,,,
Specially Designated Global Terror List; SDTG,,,,,,,,
Sri Lanka,GPE,,,Siri Laankaa,,,,
St. Petersburg,GPE,,,Seenti Peterburgii,,,,
Standard Minimum Rules for the Treatment of Prisoners; the Mandela Rules,,,,,,,,
Stockholm,GPE,ስቶክሆልም,,,,,,
Strait of Sicily,LOC,መጻብቦ ሲቺልያ,mət͡sʼabɨbo sit͡ʃilɨja,,,,,
Strasbourg,GPE,ስትራስቦርግ,sɨtɨrasɨborɨɡ,,,,,
Strasbourg,GPE,,,Istiraasburgii,,,,
Sub-Saharan Africa,LOC,ትሕቲ ሳሃራ ኣፍሪቃ,,,,,,
Sudan,GPE,ሱዳን,,Sudaan,,https://en.wikipedia.org/wiki/Sudan,366755,
Sude,,,,,,https://en.wikipedia.org/wiki/Sude,,
Sululta,,,,Sululta,,,,
Suriname,GPE,,,Surinaam,,,,
Swaiziland,GPE,,,Iswaazilaandii,,,,
Sweden,GPE,ስዊድን,sɨwidɨn,Iswiidin,,,,
Switzerland,GPE,,,Biyya Iswiisii,,,,
Sydney,GPE,,,Sidinee,,,,
Syria,GPE,ሶርያ,sorja,Sooriyaa,,,,
Tafki,,,,Tafkii,,,,
Tahrir Square,LOC,ታህሪር ስክዌር,tahrir sɨkwer,,,,,
Taiwan,GPE,,,Taayiwaan,,,,
Taji,,,,Tajii,,,,
Tajikistan,GPE,,,Tajikistaan,,,,
Tajoura,,ታጁራ,tad͡ʒura,,,,,
Taltalle,,,,Taltallee,,,,
Tanta,,ታንታ,tanta,,,,,
Tanzania,GPE,ታንዛንያ,tanzanja,Tanzaaniyaa,,,,
Taraloch,,,,,,,,
Tedros Adano,PER,,,Teewdroos Adaanoom; Tewdroos Adaanom,https://en.wikipedia.org/wiki/Tedros_Adhanom,NIL,,
Tedros Adhanom,PER,ቴልአቪቭ,telʔəviv,,,,,
Telstar 12,ORG,,,,,https://en.wikipedia.org/wiki/Telstar_12,,
Tennessee,GPE,ቴነሲ,tenəsi,,,,,
Tepi,,ቴፒ,,,,,,
Teseney; Tessenei; Tesseney,,ተሰነይ ,təsənəj,,,https://en.wikipedia.org/wiki/Teseney,,
Texas,GPE,ቴክሳስ,teksas,,,,,
Thailand,GPE,,,Taayilaandii,,,,
The Hague,GPE,,,Haag,,,,
Theresa May,PER,ቴሬዛ መይ,tereza məj,,,,,
Thomas de Maiziere,PER,ቶማስ ደ መይዚራ,tomas də məjɨzira,,,,,
Tibbe,,,,Tibbee,,,,
Tibet,GPE,ትቤት,tɨbet,,,,,
Tigray Region; Tigray,GPE,ትግራይ; ትግራይ ክልል,,Tigraay; Tigiraay,,https://en.wikipedia.org/wiki/Tigray_Region,444187,
Tigrayan People's Liberation Front; TPLF,ORG,ህዝባዊ ምንቅስቃስ ሓርነት ትግራይ,,Adda Bilisummaa Uummata Tigray,,https://en.wikipedia.org/wiki/Tigrayan_People%27s_Liberation_Front,71000046,
Tigray Peoples Democratic Movement; TPDM; DMHT; Demhit; DMHIT,ORG,,,,,https://en.wikipedia.org/wiki/Tigrayan_People%27s_Liberation_Front,,
Tigrayans,PER,ተጋሩ,,Tigraay; Tigiree,,https://en.wikipedia.org/wiki/Tigrayans,,
Timbuktu,GPE,,,Tumbuktuu,,,,
Tiyo,,,,,,https://en.wikipedia.org/wiki/Tiyo,,
Tiyya,,,,Xiyyaa,,,,
Tobba,,,,Toobbaa,,,,
Togo,GPE,,,Toogoo,,,,
Toke Kutaye,,,,Kuutaayee; Tokkee Kuutaayee,,,10626976,
Tokke Irressa,,,,Tokkee Irreessaa,,,,
Tokyo,GPE,ቶኪዮ,,,,,,
Tole,,,,Tole,,,,
Tolera Adaba,,,,Toleeraa Adabaa,,,,
Tonga,GPE,,,Tongaa,,,,
Tony Blair,PER,ቶኒ ብሌየር,toni bɨlejər,,,,,
Toronto,GPE,ቶሮንቶ,toronto,Torontoo,,,,
Trinidad and Tobago,GPE,,,Tirindaadii fi Tobaagoo,,,,
Tripoli,GPE,ትሪፖሊ,tɨripoli,,,,,
Tripuras,GPE,ትሪፑራስ,tɨripuras,,,,,
Tsegereda Woldegergish; Tsigereda Woldegiorgis,PER,,,,,,,
Tullu Milki,,,,Tulluu Milkii,,,,
Tultuli,,ቱልቱሊ,tultuli,,,,,
Tulu Bolo,,,,Tullu Boolloo,,https://en.wikipedia.org/wiki/Tulu_Bolo,,
Tunisia,GPE,ቱኒዢያ ,,Tuniisiyaa,,https://en.wikipedia.org/wiki/Tunisia,2464461,
Tunisia,GPE,,,Tuniisiyaa,,,,
Turkey,GPE,ቱርኪን,turɨkin,,,,,
Turkey,GPE,,,Biyya Turkii,,,,
Turkmenistan,GPE,,,Turkemenistaan,,,,
Tuvalu,GPE,,,Tabuluu,,,,
Ubel,,ዑበል,ʕubəl,,,,,
Uganda,GPE,ኡጋንዳ,ʔuɡanɨda,Yugaandaa; Ugaandaa,,,,
Ukraine,GPE,,,Ukraayin,,,,
UN Basic Principles on the Use of Force and Firearms by Law Enforcement Officials,,,,,,,,
UN Committee on the Rights of the Child,ORG,,,,,,,
UN Human Rights Committee,ORG,,,,,https://en.wikipedia.org/wiki/United_Nations_Human_Rights_Committee,,
UN Office for the Coordination of Humanitarian Affairs; OCHA; UN OCHA,ORG,ቤት-ጽሕፈት ናይ ሕቡኻት ሃገራት ንምውህሃድ ሰብኣዊ ጉዳያት,,OCHA,,,71000029,
UN Special Rapporteur,ORG,,,,,,,
UNICEF; United Nations Children's Fund,ORG,"ዩኒይሰፍ, ማሕበር ቆልዑ ሕቡራት ሃገራት  ",junisef,UNICEF; Dhaabbata Mootummoota Gamtoomanii,,https://en.wikipedia.org/wiki/UNICEF,20000195,
United Airlines,ORG,ዩናይትድ ኤርላይንስ,junajɨtɨd ʔerɨlajɨnɨs,,,,,
United Arab Emirates,GPE,,,Tokkummaa Imiroota Arabaa,,,,
United Kingdom,GPE,,,Biritaaniyaa,,,,
United Kingdom; UK,GPE,መንግስቲ እንግሊዝ,mənɨɡɨsɨti ʔɨnɨɡɨliz,Yunaayitid Kingidem,,https://en.wikipedia.org/wiki/United_Kingdom,2635167,
United Liberation Forces of Oromia,ORG,,,Tokkummaa Humnoota Bilisummaa Oromiyaa,,,,
United Nations Office for the Coordination of Humanitarian Affairs,ORG,,,,,https://en.wikipedia.org/wiki/United_Nations_Office_for_the_Coordination_of_Humanitarian_Affairs,,
United Nations High Commissioner for Refugees; UNHCR,ORG,ስደተኛታት ውድብ ሕቡራት ሃገራት,sɨdətəɲatat wɨdɨb ħɨburat haɡərat,UNHCR,,,,
United Nations; UN,ORG,ዩኤን; ሕቡራት ሃገራት,juʔen; ħɨburat haɡərat,UN; Mootummoota Gamtooman,,https://en.wikipedia.org/wiki/United_Nations,20000193,
United States Army,ORG,ሰራዊት ኣሜሪካ,sərawit ʔamerika,,,,,
United States Senate,ORG,ሴኔት,senet,,,,,
United States Senate,ORG,,,,,https://en.wikipedia.org/wiki/United_States_Senate,,
United States State Department; US State Department,ORG,,,,,https://en.wikipedia.org/wiki/United_States_Department_of_State,,
United States; United States of America; US; USA; U.S.A.; U.S.,GPE,ዩናይትድ ሥቴትሥ; ሕ . መ . ኣ . ; ዩነይትድ ስቴትስ;ኣመሪካ,junajɨtɨd sɨtetɨs; ħ . mə . ʔa . ; junəjtɨd sɨtetɨs,Yunaayitid Isteesi; USA; Yuunaayted Isteetis; Ameerikaa; Amerikaa; Yunaayitid Isteetsii,,https://en.wikipedia.org/wiki/United_States,6252001,
Universal Music Group,ORG,ዩኒቨርሳል ሚዩዚክ ግሩፕ,junivərsal mijuzik ɡɨrup,,,,,
Universal Orlando,ORG,ዩኒቨርሳል ኦርላንዶን,junivərsal ʔorlandon,,,,,
Universal Studios Hollywood,ORG,ስቱድዮታት ዩኒቨርሳል ሆሊውድ,sɨtudjotat junivərsal holiwɨd,,,,,
University of Haramaya,ORG,,,Yunivarsitii Haromaayaa; Yunnivarsitii Haromaayaa,,https://en.wikipedia.org/wiki/Haramaya_University,,
University of London,ORG,ዩኒቨርስቲ ለንደን,junivərsɨti ləndən,,,,,
"University of San Marcos, Lima",ORG,ሳን ማርቆስ ሊማ ዩኒቨርስቲ,san marɨqos lima junivərɨsɨti,,,,,
Urgessa,,,,Urgeessaa,,,,
Urso,,,,,,,,
Urso military camp,LOC,,,,,,,
Uruguay,GPE,,,Uruguwaay,,,,
US,GPE,ዩ ኤስ,ju ʔes; juʔes,,,,,
USS,ORG,ዩ . ኤስ . ኤስ.,,,,,,
USAID; United States Agency for International Development,ORG,,,,,https://en.wikipedia.org/wiki/United_States_Agency_for_International_Development,,
Ushuaia,,ኡሽዋያ,ʔuʃɨwaja,,,,,
Uzbekistan,GPE,,,Uzbeekistaan,,,,
Valetta,,ቫሌታ,valeta,,,,,
Vanatu,GPE,,,Banuwaatuu,,,,
Varuna,GPE,ቫሩና,varuna,,,,,
Vatican,GPE,,,Baatikaan,,,,
Venezuela,GPE,,,Benezuweelaa,,,,
Venice,GPE,,,Benesiyaa,,,,
Vietnam,GPE,ቬትናም,vetɨnam,Beetinaam,,,,
Viktor Orbàn,PER,ቪክቶር ኦርባን,vikɨtor ʔorɨban,,,,,
Virgin Mary,PER,ድንግል ማርያም,dɨnɡɨl marjam,,,,,
Vivendi Universal,ORG,ቪቬንዲ ዩኒቨርሳል,vivendi junivərsal,,,,,
VOA; Voice of America; VOATigrigna; VOATigrina,ORG,ቪኦኤ; ሬድዮ ድምፂ ኣሜሪካ,,VOA,,https://en.wikipedia.org/wiki/Voice_of_America,,
Voice of Oromo Liberation; VOL,ORG,,,Sagalee Bilisummaa Oromoo; SBO,,,,
Voice of America,ORG,,,raadiyoon sagalee Amerikaa,,,,
Wabe,,,,Waabee,,,,
Wabe Gafarsa,,,,Waabee Gafarsaa,,,,
Wachu,,,,Waaccuu,,,,
Wadera,,,,Wadeera,,,,
Wag Hemra Zone,GPE,,,,,https://en.wikipedia.org/wiki/Wag_Hemra_Zone,8051209,
Walabu,,,,Haroo Walaabuu,,,,
Walanchitti,,,,Walancittii,,,,
Waldiya,,,,Waldiyaa,,,,
Wales,GPE,ዌልስ,wels,,,,,
Walga,,,,Waalgaa,,,,
Waliso wordea,GPE,,,Waliso; Walisoo,,https://en.wikipedia.org/wiki/Waliso_(woreda),336372,
Walmal,,,,Walmal,,,,
Wama,,,,Waamaa,,,,
Wanci Mountains,,,,Gooroo Wancii,,,,
Wanji,,,,Wanjii,,,,
Wanji Gafarsa,,,,Wanjii Gafarsaa,,,,
Warka,,,,Warqa,,,,
"Washington DC; DC; Washington, D.C.",GPE,ዋሽንግተን; ዋሽንግቶን; ዋሺንግቶን,waʃɨnɨɡɨtən; waʃnɨɡton; waʃinɡɨton,"Washington DC; Washiingtiin Diisii; Waashingitan Diisii; Waashinton Diisii;WASHINTON,DC",,,4140963,
Washington,GPE,ዋሽንግተን,waʃnɨɡtən,,,https://en.wikipedia.org/wiki/Washington_(state),,
Watar,,,,Watar,,,,
Wayane; Tigrayan People's Liberation Front; Weyane; Second Weyane,ORG,ወያነ; ህዝባዊ ምንቅስቃስ ሓርነት ትግራይ,,Wayyannee; Wayyanne; Wayyaane; Woyyaane; Wayyane; Waaynee,,https://en.wikipedia.org/wiki/Tigrayan_People%27s_Liberation_Front,71000046,
Wayyu,,,,Waayyuu,,,,
Weldiya,GPE,,,,,https://en.wikipedia.org/wiki/Weldiya,,
Welega; Wellega; Wollega,GPE,,,Wallagga,,https://en.wikipedia.org/wiki/Welega_Province,326395,
Welkait,,ወልቃይት,,Welkait,,,,
Welkait Amhara Identity Committee,,,,,,,,
"Welwel, Ethiopia",GPE,,,,,"https://en.wikipedia.org/wiki/Welwel,_Ethiopia",326348,
Werder,GPE,,,,,"https://en.wikipedia.org/wiki/Werder,_Ethiopia",,
West Arsi Zone; Mirab Arsi Zone,GPE,,,Arsii Lixaa; Arsii Dhihaa,,https://en.wikipedia.org/wiki/West_Arsi_Zone,343450,
West Bank,,ዌስት ባንክ,wesɨt banɨk,,,,,
West Gojjam Zone,GPE,,,Goojjaam Dhihaa,,https://en.wikipedia.org/wiki/West_Gojjam_Zone,7670722,
West Hararghe Zone,GPE,,,Harargee Dhihaa; Godina Harargee Dhihaa; Harargee Lixaa,,https://en.wikipedia.org/wiki/West_Hararghe_Zone,7732969,
West Shewa Zone,GPE,,,Shawaa Lixaa; Shawaa Dhihaa; Godina Shawaa Lixaa; Godina Shawaa Dhihaa,,https://en.wikipedia.org/wiki/West_Shewa_Zone,7670715,
West Welega Zone; West Wellega Zone; West Wollega Zone; Mirab Welega; West Wallagga,GPE,,,Wallagga Lixaa; Wallagga Dhihaa; Godina Wallagga Lixaa; Godina Wallagga Dhihaa,,https://en.wikipedia.org/wiki/West_Welega_Zone,7732966,
Western Balkans,LOC,ምዕራባውያን ሃገራት ባልካን,mɨʕɨrabawɨjan haɡərat balɨkan,,,,,
Western Hemisphere,LOC,ምዕራብ ሄሚሶፊር,mɨʕɨrab hemisofir,,,,,
Weyib,,,,Weeyib,,,,
White House,ORG,ኋይት ሃውስ; ዋይት ሃውስ,hʷajɨt hawɨs; wajɨt hawɨs,Waayit Haawus,,https://en.wikipedia.org/wiki/White_House,4140704,
Wisconsin,GPE,ዊስኮንሲን,wiskonsin,,,,,
Wolayita Zone,GPE,,,,,https://en.wikipedia.org/wiki/Wolayita_Zone,326423,
Wollo,ORG,,,,,https://en.wikipedia.org/wiki/Wollo_Province,326350,
Working Group on Arbitrary Detention,ORG,,,,,https://en.wikipedia.org/wiki/Working_Group_on_Arbitrary_Detention,,
World Bank,ORG,ዓለምለኻዊ ባንክ; ባንክ ዓለም,,Baankii Addunyaa,,https://en.wikipedia.org/wiki/World_Bank,20000232,
World Food Program; World Food Programme,ORG,ኣህጉራዊ ውድብ መግቢ,,sagantaa nyaataa addunyaa; gargaarsa nyaata addunyaa,,https://en.wikipedia.org/wiki/World_Food_Programme,20000236,
World Health Organization; WHO,ORG,ኣህጉራዊ ውድብ ጥዕና,,Jaarmayaan Fayyaa Addunyaa,,https://en.wikipedia.org/wiki/World_Health_Organization,20000237,
World Trade Center,LOC,ዓለም ንግዲ ማዕከል,ʕaləm nɨɡdi maʕkəl,,,,,
Yaballo,,,,Yaaballoo,,,,
Yabbu,,,,Yabbuu,,,,
Yadot,,,,Yaadot,,,,
Yambaro,,,,Yambaroo,,,,
Yasser,PER,ያሲን,jasin,,,,,
Yasser Arafat,PER,ያሲን ዓራፋት,jasin ʕarafat,,,,,
Yayyu,,,,Yaayyoo,,,,
Yemen,GPE,የመን,jəmən,Yaman,,https://en.wikipedia.org/wiki/Yemen,69543,
Yilkal Getnet,,,,Yiliqaal Geetinnet,,,,
Yirba Muda,,,,Yirbaa Muudaa,,,,
Yomiuri,,ዮሚዩሪ,,,,,,
Yubdo,,,,Yuubdoo,,,,
Zambia,GPE,,Zaambiyaa,Zaambiyaa,,,,
Zanzibar,GPE,ዛንዚባር,zanzibar,,,,,
Zerihun Wodajo,,,,Zarihuun Wadaajoo,,,,
Zawiya,,ዛዊያ,zawija,,,,,
Zia-ul Haq,PER,ዚያ - ኡል ሓቅ,zija - ʔul ħaq,,,,,
Zimbabwe,GPE,,,Zimbaabwee,,,,
Ethiopian People's Revolutionary Democratic Front;EPRDF,ORG,,,,,,71000041,